"","ID","X","Y","anglerType"
"183",709577,-98.873517,41.315533,"Sunfish"
"184",709802,-99.836798,40.691228,"Walleye-Sauger"
"185",710342,-99.849062,42.547012,"Walleye-Sauger"
"186",706742,-96.456138,41.438064,"Sunfish"
"187",707004,-96.398422,41.277423,"Catfish"
"188",708421,-96.675422,40.747768,"Bass"
"189",709080,-97.542551,42.192031,"Sunfish"
"190",709176,-96.700251,41.834998,"Catfish"
"191",706579,-95.911168,41.17317,"Sunfish"
"192",707056,-95.993205,41.24536,"Walleye-Sauger"
"193",707544,-96.085622,41.197708,"Bass"
"194",708037,-97.101476,40.916532,"Walleye-Sauger"
"195",708163,-96.69439,40.787103,"Bass"
"196",708415,-96.664075,40.7604,"Bass"
"197",709269,-98.364932,40.922338,"Walleye-Sauger"
"198",709525,-99.056375,40.740671,"Walleye-Sauger"
"199",710185,-101.714684,41.256602,"Bass"
"200",710393,-103.146186,41.698277,"Walleye-Sauger"
"201",706465,-90.035294,40.544914,"Bass"
"202",706686,-96.243135,41.274291,"Bass"
"203",706739,-96.503176,41.41341,"Catfish"
"204",706977,-96.618971,41.189097,"Sunfish"
"205",707003,-96.398496,41.246971,"Sunfish"
"206",707398,-95.990915,41.131105,"Bass"
"207",707897,-96.941252,40.929994,"Sunfish"
"208",707994,-96.045448,40.84584,"Bass"
"209",708058,-96.375642,40.461891,"Sunfish"
"210",708229,-96.738794,40.998886,"Bass"
"211",708271,-96.616138,40.791143,"Bass"
"212",708311,-96.618034,40.837987,"Bass"
"213",708375,-96.68822,40.761087,"Sunfish"
"214",708410,-96.668778,40.761941,"Bass"
"215",708411,-96.662566,40.756119,"Catfish"
"216",708506,-96.735249,40.862798,"Walleye-Sauger"
"217",708645,-97.379671,41.432225,"Catfish"
"218",708967,-98.342194,42.261899,"Sunfish"
"219",709166,-97.014935,42.22685,"Bass"
"220",709381,-99.135566,41.780486,"Bass"
"221",709522,-99.081911,40.754588,"Walleye-Sauger"
"222",709604,-98.899772,41.586238,"Walleye-Sauger"
"223",709644,-98.371209,41.059475,"Walleye-Sauger"
"224",709860,-98.657645,40.616291,"Walleye-Sauger"
"225",709915,-100.642481,40.205888,"Walleye-Sauger"
"226",709916,-100.64064,40.302718,"Sunfish"
"227",709919,-100.646157,40.100756,"Bass"
"228",709992,-100.164832,40.478045,"Walleye-Sauger"
"229",710179,-103.658486,41.277853,"Bass"
"230",710180,-103.695638,41.255201,"Catfish"
"231",710248,-102.996968,41.139811,"Walleye-Sauger"
"232",710340,-99.852022,42.545957,"Walleye-Sauger"
"233",710357,-102.846638,42.107378,"Walleye-Sauger"
"234",706855,-96.055343,41.141964,"Bass"
"235",707053,-96.003681,41.247268,"Bass"
"236",707582,-96.125729,41.141188,"Catfish"
"237",708140,-97.572928,40.876828,"Sunfish"
"238",708729,-97.790832,41.244265,"Catfish"
"239",709519,-99.073197,40.718221,"Sunfish"
"240",709694,-98.422627,40.592753,"Bass"
"241",708402,-96.672518,40.736241,"Walleye-Sauger"
"242",708640,-97.387538,41.624161,"Bass"
"243",706500,-95.810126,39.89185,"Bass"
"244",706597,-96.151587,41.325366,"Walleye-Sauger"
"245",706780,-96.255215,41.128318,"Walleye-Sauger"
"246",706948,-96.130945,41.086528,"Bass"
"247",707418,-96.054221,41.293644,"Sunfish"
"248",707505,-96.185325,41.18216,"Walleye-Sauger"
"249",707606,-96.107915,41.331577,"Walleye-Sauger"
"250",707922,-97.667552,40.074674,"Catfish"
"251",708072,-96.02085,40.530476,"Catfish"
"252",708080,-95.930604,40.851778,"Catfish"
"253",708088,-97.46355,40.937331,"Walleye-Sauger"
"254",708260,-96.61727,40.796818,"Catfish"
"255",708262,-96.608092,40.790924,"Bass"
"256",708305,-96.641272,40.848593,"Bass"
"257",708306,-96.632502,40.850703,"Bass"
"258",708399,-96.673438,40.76209,"Sunfish"
"259",708609,-96.589158,40.827215,"Bass"
"260",708611,-96.728612,40.822163,"Bass"
"261",708631,-97.348492,41.433888,"Catfish"
"262",708837,-97.432302,42.031353,"Bass"
"263",708899,-98.981863,42.541892,"Bass"
"264",709164,-97.029174,42.229769,"Walleye-Sauger"
"265",709195,-98.347428,40.896261,"Bass"
"266",709257,-98.378212,40.937088,"Walleye-Sauger"
"267",709258,-98.389492,40.946013,"Walleye-Sauger"
"268",709690,-98.376621,40.587797,"Sunfish"
"269",710004,-100.769558,41.089616,"Walleye-Sauger"
"270",710289,-101.119016,41.165741,"Walleye-Sauger"
"271",700189,-96.438578,42.482426,"Catfish"
"272",700202,-97.403254,42.873009,"Bass"
"273",700209,-98.526226,43.43405,"Catfish"
"274",700314,-101.050422,39.399844,"Sunfish"
"275",700346,-100.850981,37.981233,"Walleye-Sauger"
"276",700353,-96.363821,41.454963,"Walleye-Sauger"
"277",700357,-96.356032,41.451333,"Bass"
"278",700396,-95.89095,41.152497,"Walleye-Sauger"
"279",700397,-95.919248,41.14099,"Sunfish"
"280",700415,-95.919387,41.167888,"Bass"
"281",700429,-96.148166,41.350108,"Catfish"
"282",700435,-96.167181,41.332648,"Walleye-Sauger"
"283",700447,-96.160859,41.335431,"Bass"
"284",700449,-96.117245,41.427706,"Bass"
"285",700463,-96.133781,41.553784,"Catfish"
"286",700471,-96.088945,41.453434,"Sunfish"
"287",700472,-96.115735,41.549099,"Walleye-Sauger"
"288",700482,-96.697021,41.350828,"Bass"
"289",700486,-96.101417,41.043923,"Catfish"
"290",700495,-96.678958,41.25424,"Bass"
"291",700497,-96.728802,41.393698,"Bass"
"292",700500,-96.362837,41.785471,"Sunfish"
"293",700506,-96.198075,41.271871,"Bass"
"294",700515,-96.229015,41.256667,"Bass"
"295",700516,-96.231471,41.257498,"Sunfish"
"296",700565,-96.514911,41.453779,"Catfish"
"297",700570,-96.515601,41.458253,"Sunfish"
"298",700583,-96.558515,41.497731,"Sunfish"
"299",700601,-96.465852,41.439723,"Sunfish"
"300",700606,-96.506575,41.395272,"Walleye-Sauger"
"301",700608,-96.512975,41.401571,"Sunfish"
"302",700614,-96.493893,41.432713,"Bass"
"303",700625,-96.583445,41.446566,"Walleye-Sauger"
"304",700633,-96.505742,41.447358,"Sunfish"
"305",700640,-96.490688,41.437783,"Bass"
"306",700667,-96.248038,41.148645,"Sunfish"
"307",700674,-96.241412,41.144445,"Sunfish"
"308",700691,-96.560994,41.609265,"Catfish"
"309",700702,-96.175755,40.995711,"Walleye-Sauger"
"310",700703,-96.092576,41.02318,"Bass"
"311",700714,-96.727553,41.249378,"Sunfish"
"312",700715,-96.722125,41.267601,"Walleye-Sauger"
"313",700724,-96.465448,41.83986,"Sunfish"
"314",700737,-96.100338,41.055271,"Walleye-Sauger"
"315",700739,-96.1068,41.161078,"Sunfish"
"316",700748,-96.061368,41.13766,"Sunfish"
"317",700786,-96.048135,41.14853,"Bass"
"318",700787,-96.05405,41.150288,"Catfish"
"319",700827,-95.891168,41.005521,"Catfish"
"320",700843,-96.245988,41.00222,"Sunfish"
"321",700852,-96.130722,41.087385,"Catfish"
"322",700854,-96.2187,41.780398,"Catfish"
"323",700858,-96.223401,41.780497,"Catfish"
"324",700860,-96.229056,41.78031,"Bass"
"325",700876,-96.428345,41.32988,"Sunfish"
"326",700882,-96.949045,41.018741,"Bass"
"327",700886,-96.743441,41.191854,"Bass"
"328",700896,-96.622247,41.214945,"Sunfish"
"329",700898,-96.623775,41.21259,"Sunfish"
"330",700901,-96.639855,41.119381,"Bass"
"331",700902,-96.629937,41.211321,"Sunfish"
"332",700904,-96.206645,41.396114,"Walleye-Sauger"
"333",700907,-96.287829,41.286317,"Catfish"
"334",700909,-96.322558,41.25122,"Walleye-Sauger"
"335",700913,-96.506685,41.608206,"Catfish"
"336",700914,-96.406835,41.286071,"Bass"
"337",700936,-95.991396,41.280841,"Bass"
"338",700937,-95.840712,41.279253,"Catfish"
"339",700946,-95.983068,41.289811,"Walleye-Sauger"
"340",700955,-96.008318,41.300391,"Walleye-Sauger"
"341",700975,-95.991418,41.305221,"Catfish"
"342",700999,-96.013195,41.31598,"Walleye-Sauger"
"343",701053,-96.020301,41.229927,"Sunfish"
"344",701056,-95.985222,41.246063,"Sunfish"
"345",701063,-96.000221,41.248713,"Bass"
"346",701073,-95.938152,41.194698,"Sunfish"
"347",701078,-95.958411,41.201563,"Bass"
"348",701092,-95.971692,41.200019,"Sunfish"
"349",701098,-95.966175,41.218841,"Catfish"
"350",701132,-95.944685,41.249581,"Catfish"
"351",701140,-95.930668,41.239661,"Bass"
"352",701159,-95.946111,41.293299,"Catfish"
"353",701166,-95.944688,41.308812,"Catfish"
"354",701193,-96.07757,41.3072,"Bass"
"355",701211,-95.954071,41.325193,"Sunfish"
"356",701236,-96.045648,41.271792,"Bass"
"357",701245,-96.052275,41.26622,"Bass"
"358",701252,-96.051721,41.273318,"Sunfish"
"359",701274,-96.171002,41.298898,"Bass"
"360",701277,-96.170952,41.280513,"Catfish"
"361",701281,-96.181541,41.279743,"Sunfish"
"362",701286,-96.185722,41.287023,"Walleye-Sauger"
"363",701288,-96.172218,41.197347,"Walleye-Sauger"
"364",701305,-96.173929,41.308209,"Sunfish"
"365",701314,-95.985531,41.192593,"Bass"
"366",701332,-96.006001,41.206849,"Walleye-Sauger"
"367",701335,-95.999378,41.19141,"Walleye-Sauger"
"368",701337,-96.166159,41.270869,"Sunfish"
"369",701348,-96.165944,41.254718,"Bass"
"370",701352,-96.036508,41.400043,"Catfish"
"371",701370,-95.943927,41.16029,"Sunfish"
"372",701374,-95.97941,41.135613,"Sunfish"
"373",701394,-95.953875,41.098041,"Sunfish"
"374",701396,-95.919092,41.091265,"Sunfish"
"375",701421,-95.955733,41.110683,"Bass"
"376",701425,-95.958739,41.065418,"Sunfish"
"377",701438,-96.046398,41.240269,"Walleye-Sauger"
"378",701444,-96.031248,41.232121,"Walleye-Sauger"
"379",701465,-96.054744,41.211638,"Walleye-Sauger"
"380",701487,-96.050938,41.19314,"Bass"
"381",701488,-96.042106,41.195031,"Sunfish"
"382",701489,-96.024633,41.192842,"Catfish"
"383",701498,-96.053923,41.195048,"Bass"
"384",701506,-96.015322,41.179413,"Bass"
"385",701509,-96.141836,41.194407,"Sunfish"
"386",701511,-96.022096,41.18888,"Walleye-Sauger"
"387",701521,-96.055348,41.184321,"Bass"
"388",701534,-96.04935,41.183186,"Sunfish"
"389",701539,-96.050861,41.190308,"Sunfish"
"390",701542,-96.065463,41.183917,"Walleye-Sauger"
"391",701545,-96.1693,41.245668,"Sunfish"
"392",701552,-96.169225,41.233108,"Sunfish"
"393",701581,-95.96018,41.272178,"Catfish"
"394",701607,-95.980125,41.266902,"Bass"
"395",701612,-96.01319,41.142963,"Catfish"
"396",701614,-96.00936,41.164457,"Sunfish"
"397",701659,-96.057953,41.309633,"Walleye-Sauger"
"398",701662,-96.149248,41.365798,"Catfish"
"399",701663,-96.032896,41.31789,"Sunfish"
"400",701665,-96.027212,41.281414,"Sunfish"
"401",701677,-96.354478,41.143903,"Catfish"
"402",701679,-96.058291,41.306178,"Bass"
"403",701687,-96.161963,41.209278,"Sunfish"
"404",701699,-96.188919,41.216113,"Bass"
"405",701705,-96.207567,41.203138,"Bass"
"406",701719,-96.185218,41.201802,"Walleye-Sauger"
"407",701726,-96.160278,41.195361,"Walleye-Sauger"
"408",701728,-96.209705,41.191671,"Bass"
"409",701730,-96.186229,41.150509,"Bass"
"410",701758,-96.166458,41.176951,"Bass"
"411",701766,-96.109331,41.207568,"Bass"
"412",701769,-96.123163,41.200155,"Bass"
"413",701772,-96.128427,41.195168,"Catfish"
"414",701775,-96.086905,41.253561,"Bass"
"415",701784,-96.154792,41.192913,"Bass"
"416",701788,-96.148655,41.222391,"Walleye-Sauger"
"417",701811,-96.122128,41.187148,"Bass"
"418",701816,-96.13221,41.184933,"Bass"
"419",701818,-96.134356,41.184167,"Sunfish"
"420",701826,-96.148173,41.176288,"Catfish"
"421",701829,-96.133147,41.188538,"Sunfish"
"422",701830,-96.15493,41.188073,"Catfish"
"423",701832,-96.190642,40.670398,"Walleye-Sauger"
"424",701843,-96.08341,41.228227,"Sunfish"
"425",701846,-96.090367,41.24667,"Bass"
"426",701851,-96.108722,41.247194,"Catfish"
"427",701856,-96.134852,41.240128,"Walleye-Sauger"
"428",701857,-96.139931,41.231123,"Catfish"
"429",701868,-96.128558,41.233211,"Catfish"
"430",701877,-96.115548,41.22289,"Catfish"
"431",701905,-95.929109,41.172918,"Bass"
"432",701913,-95.983477,41.38443,"Catfish"
"433",701917,-95.987282,41.357288,"Catfish"
"434",701920,-95.996552,41.319958,"Bass"
"435",701934,-96.149914,41.267095,"Bass"
"436",701937,-96.150149,41.270752,"Sunfish"
"437",701946,-96.152807,41.257098,"Bass"
"438",701953,-95.983032,41.185898,"Sunfish"
"439",701962,-95.982165,41.180412,"Bass"
"440",701967,-96.091687,41.318162,"Bass"
"441",701970,-96.094253,41.299948,"Sunfish"
"442",701989,-96.131505,41.29401,"Bass"
"443",701990,-96.107146,41.278155,"Catfish"
"444",701994,-96.135689,41.27955,"Bass"
"445",701995,-96.137775,41.282451,"Catfish"
"446",702000,-96.13651,41.296134,"Bass"
"447",702004,-96.131668,41.304865,"Bass"
"448",702013,-96.088436,41.320333,"Catfish"
"449",702016,-96.575432,40.479983,"Bass"
"450",702022,-95.841771,40.390738,"Catfish"
"451",702025,-95.847772,40.384343,"Walleye-Sauger"
"452",702045,-96.738477,40.28281,"Sunfish"
"453",702052,-96.72841,40.273483,"Sunfish"
"454",702075,-96.777019,40.264414,"Catfish"
"455",702076,-97.276611,40.778438,"Walleye-Sauger"
"456",702077,-97.320597,40.799588,"Catfish"
"457",702091,-96.499891,40.680088,"Sunfish"
"458",702096,-96.664112,40.13864,"Catfish"
"459",702098,-95.682601,40.414419,"Catfish"
"460",702099,-95.678179,40.412423,"Catfish"
"461",702105,-97.618848,40.00659,"Catfish"
"462",702124,-96.951948,40.61372,"Catfish"
"463",702141,-96.671741,41.001978,"Sunfish"
"464",702148,-96.924542,40.395543,"Bass"
"465",702151,-96.916773,40.396797,"Sunfish"
"466",702158,-96.431798,40.81894,"Catfish"
"467",702163,-96.436906,40.814051,"Bass"
"468",702178,-97.190655,40.145592,"Bass"
"469",702186,-97.369208,40.165301,"Catfish"
"470",702191,-97.173011,40.139273,"Walleye-Sauger"
"471",702209,-96.535096,40.282635,"Bass"
"472",702231,-96.431841,40.914403,"Walleye-Sauger"
"473",702244,-96.632165,40.624599,"Catfish"
"474",702258,-96.630671,40.619998,"Bass"
"475",702263,-96.621595,40.625441,"Catfish"
"476",702268,-96.625259,40.627743,"Sunfish"
"477",702284,-96.864055,40.90791,"Bass"
"478",702289,-96.868304,40.910407,"Walleye-Sauger"
"479",702293,-96.852012,40.930223,"Walleye-Sauger"
"480",702296,-96.758472,40.635723,"Catfish"
"481",702303,-96.278882,40.9273,"Walleye-Sauger"
"482",702304,-96.281116,40.926891,"Catfish"
"483",702305,-96.331501,40.928939,"Sunfish"
"484",702312,-95.886252,40.670878,"Walleye-Sauger"
"485",702314,-95.867021,40.674939,"Bass"
"486",702331,-95.991363,40.829335,"Catfish"
"487",702344,-96.510461,40.602293,"Bass"
"488",702345,-96.152047,40.11376,"Catfish"
"489",702346,-96.157722,40.114633,"Sunfish"
"490",702350,-96.140082,40.101983,"Bass"
"491",702354,-95.731562,40.47746,"Sunfish"
"492",702357,-96.729051,40.376384,"Catfish"
"493",702358,-96.987048,40.831381,"Sunfish"
"494",702363,-96.932002,40.791151,"Walleye-Sauger"
"495",702366,-96.761658,40.964091,"Catfish"
"496",702370,-96.755571,40.930138,"Catfish"
"497",702371,-96.756286,40.940068,"Bass"
"498",702372,-96.779852,40.95812,"Sunfish"
"499",702377,-95.436528,40.051104,"Catfish"
"500",702380,-95.674361,40.029443,"Catfish"
"501",702381,-97.087195,40.91779,"Sunfish"
"502",702387,-97.091955,40.922501,"Catfish"
"503",702388,-97.158098,40.941641,"Walleye-Sauger"
"504",702395,-97.089028,40.921395,"Bass"
"505",702397,-97.094278,40.90389,"Bass"
"506",702413,-96.377416,40.46145,"Walleye-Sauger"
"507",702420,-96.188576,40.66317,"Bass"
